Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/products/2005,1,0,30.13617999977214,30.13617999977214,30.13617999977214,30.13617999977214,126.0,0.0035232410796598814,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/products/203075,1,0,26.265779999903316,26.265779999903316,26.265779999903316,26.265779999903316,125.0,0.0035232410796598814,0.0,26,26,26,26,26,26,26,26,26,26,26
GET,/products/205616,2,0,26.394085999982053,28.13533800008372,26.394085999982053,29.876590000185388,127.0,0.007046482159319763,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/products/205670,3,0,30,29.113810666634283,25.937415000043984,31.304098999953567,117.0,0.010569723238979645,0.0,30,30,31,31,31,31,31,31,31,31,31
GET,/products/20637,3,0,29,31.021542666621826,27.42798999997831,36.44406600005823,123.0,0.010569723238979645,0.0,29,29,36,36,36,36,36,36,36,36,36
GET,/products/206714,3,0,31,30.25571799988332,27.627938000023278,32.427564999807146,119.0,0.010569723238979645,0.0,31,31,32,32,32,32,32,32,32,32,32
GET,/products/210237,1,0,27.939052999954583,27.939052999954583,27.939052999954583,27.939052999954583,118.0,0.0035232410796598814,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/products/210246,2,0,28.12558099958551,28.14500649992624,28.12558099958551,28.16443200026697,118.0,0.007046482159319763,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/products/210956,1,0,30.300344999886875,30.300344999886875,30.300344999886875,30.300344999886875,119.0,0.0035232410796598814,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/products/210966,1,0,25.983695999912015,25.983695999912015,25.983695999912015,25.983695999912015,126.0,0.0035232410796598814,0.0,26,26,26,26,26,26,26,26,26,26,26
GET,/products/211985,1,0,25.687300999834406,25.687300999834406,25.687300999834406,25.687300999834406,117.0,0.0035232410796598814,0.0,26,26,26,26,26,26,26,26,26,26,26
GET,/products/21231,1,0,39.67568300004132,39.67568300004132,39.67568300004132,39.67568300004132,116.0,0.0035232410796598814,0.0,40,40,40,40,40,40,40,40,40,40,40
GET,/products/21369,2,0,25.223045999609894,28.456160999894564,25.223045999609894,31.689276000179234,127.0,0.007046482159319763,0.0,32,32,32,32,32,32,32,32,32,32,32
GET,/products/214241,1,0,27.685123000082967,27.685123000082967,27.685123000082967,27.685123000082967,129.0,0.0035232410796598814,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/products/215376,2,0,29.162580000047456,33.014751999871805,29.162580000047456,36.866923999696155,124.0,0.007046482159319763,0.0,37,37,37,37,37,37,37,37,37,37,37
GET,/products/218778,3,0,27,27.64970966685117,25.533103000270785,30.246695000187174,124.0,0.010569723238979645,0.0,27,27,30,30,30,30,30,30,30,30,30
GET,/products/219401,3,0,27,27.083935666723846,25.63621499984947,28.227909000179352,126.0,0.010569723238979645,0.0,27,27,28,28,28,28,28,28,28,28,28
GET,/products/220467,1,0,27.500864999637997,27.500864999637997,27.500864999637997,27.500864999637997,118.0,0.0035232410796598814,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/products/220625,1,0,34.375169000213646,34.375169000213646,34.375169000213646,34.375169000213646,118.0,0.0035232410796598814,0.0,34,34,34,34,34,34,34,34,34,34,34
GET,/products/221991,3,0,28,27.39615433332195,25.47334700011561,28.969769000013912,129.0,0.010569723238979645,0.0,28,28,29,29,29,29,29,29,29,29,29
